"singleLatinCodePointHasSize1() { CodePointCharStream s = CharStreams.fromString(""X""); ""<AssertPlaceHolder>""; }
size() { return size; }"	assertEquals(1, s.size())
"getTextWithEmoji() { CodePointCharStream s = CharStreams.fromString( new StringBuilder(""01234"") .appendCodePoint(0x1F522) .append(""6789"") .toString()); ""<AssertPlaceHolder>""; }
toString() { return getText(Interval.Companion.of(0, size - 1)); }"	"assertEquals(""34\uD83D\uDD2267"", s.getText(Interval.Companion.of(3, 7)))"
"toStringWithLatin() { CodePointCharStream s = CharStreams.fromString(""0123456789""); ""<AssertPlaceHolder>""; }
toString() { return getText(Interval.Companion.of(0, size - 1)); }"	"assertEquals(""0123456789"", s.toString())"
"toStringWithCJK() { CodePointCharStream s = CharStreams.fromString(""01234\u40946789""); ""<AssertPlaceHolder>""; }
toString() { return getText(Interval.Companion.of(0, size - 1)); }"	"assertEquals(""01234\u40946789"", s.toString())"
"toStringWithEmoji() { CodePointCharStream s = CharStreams.fromString( new StringBuilder(""01234"") .appendCodePoint(0x1F522) .append(""6789"") .toString()); ""<AssertPlaceHolder>""; }
toString() { return getText(Interval.Companion.of(0, size - 1)); }"	"assertEquals(""01234\uD83D\uDD226789"", s.toString())"
"Exception { LexerGrammar g = new LexerGrammar( ""lexer grammar T;\n""+ ""A : 'a';\n"" + ""B : 'b';\n"" + ""C : 'c';\n""); LexerInterpreter lexEngine = g.createLexerInterpreter(CharStreams.fromString(""abc"")); CommonTokenStream stream = new CommonTokenStream(lexEngine); stream.fill(); TokenStreamRewriter tokens = new TokenStreamRewriter(stream); tokens.insertBefore(0, ""0""); String result = tokens.getText(); String expecting = ""0abc""; ""<AssertPlaceHolder>""; }
getText() { return getText(DEFAULT_PROGRAM_NAME, Interval.Companion.of(0,tokens.size()-1)); }"	assertEquals(expecting, result)
"Exception { LexerGrammar g = new LexerGrammar( ""lexer grammar T;\n""+ ""A : 'a';\n"" + ""B : 'b';\n"" + ""C : 'c';\n""); String input = ""aa""; LexerInterpreter lexEngine = g.createLexerInterpreter(CharStreams.fromString(input)); CommonTokenStream stream = new CommonTokenStream(lexEngine); stream.fill(); TokenStreamRewriter tokens = new TokenStreamRewriter(stream); tokens.insertBefore(0, ""<b>""); tokens.insertAfter(0, ""</b>""); tokens.insertBefore(1, ""<b>""); tokens.insertAfter(1, ""</b>""); String result = tokens.getText(); String expecting = ""<b>a</b><b>a</b>""; // fails with <b>a<b></b>a</b>"" ""<AssertPlaceHolder>""; }
getText() { return getText(DEFAULT_PROGRAM_NAME, Interval.Companion.of(0,tokens.size()-1)); }"	assertEquals(expecting, result)
"Exception { LexerGrammar g = new LexerGrammar( ""lexer grammar T;\n""+ ""A : 'a';\n"" + ""B : 'b';\n"" + ""C : 'c';\n""); String input = ""aa""; LexerInterpreter lexEngine = g.createLexerInterpreter(CharStreams.fromString(input)); CommonTokenStream stream = new CommonTokenStream(lexEngine); stream.fill(); TokenStreamRewriter tokens = new TokenStreamRewriter(stream); tokens.insertBefore(0, ""<p>""); tokens.insertBefore(0, ""<b>""); tokens.insertAfter(0, ""</p>""); tokens.insertAfter(0, ""</b>""); tokens.insertBefore(1, ""<b>""); tokens.insertAfter(1, ""</b>""); String result = tokens.getText(); String expecting = ""<b><p>a</p></b><b>a</b>""; ""<AssertPlaceHolder>""; }
getText() { return getText(DEFAULT_PROGRAM_NAME, Interval.Companion.of(0,tokens.size()-1)); }"	assertEquals(expecting, result)
"Exception { LexerGrammar g = new LexerGrammar( ""lexer grammar T;\n""+ ""A : 'a';\n"" + ""B : 'b';\n"" + ""C : 'c';\n""); String input = ""ab""; LexerInterpreter lexEngine = g.createLexerInterpreter(CharStreams.fromString(input)); CommonTokenStream stream = new CommonTokenStream(lexEngine); stream.fill(); TokenStreamRewriter tokens = new TokenStreamRewriter(stream); tokens.insertBefore(0, ""<p>""); tokens.insertBefore(0, ""<b>""); tokens.insertBefore(0, ""<div>""); tokens.insertAfter(0, ""</p>""); tokens.insertAfter(0, ""</b>""); tokens.insertAfter(0, ""</div>""); tokens.insertBefore(1, ""!""); String result = tokens.getText(); String expecting = ""<div><b><p>a</p></b></div>!b""; ""<AssertPlaceHolder>""; }
getText() { return getText(DEFAULT_PROGRAM_NAME, Interval.Companion.of(0,tokens.size()-1)); }"	assertEquals(expecting, result)
"canCreateAvailabilitySlots() { //given ResourceId resourceId = ResourceId.newOne(); TimeSlot oneDay = TimeSlot.createDailyTimeSlotAtUTC(2021, 1, 1);  //when availabilityFacade.createResourceSlots(resourceId, oneDay);  //then TimeSlot entireMonth = TimeSlot.createMonthlyTimeSlotAtUTC(2021, 1); Calendar monthlyCalendar = availabilityFacade.loadCalendar(resourceId, entireMonth); ""<AssertPlaceHolder>""; }
loadCalendar(ResourceId resourceId, TimeSlot within) { TimeSlot normalized = Segments.normalizeToSegmentBoundaries(within, defaultSegment()); return availabilityReadModel.load(resourceId, normalized); }"	assertThat(monthlyCalendar).isEqualTo(Calendar.withAvailableSlots(resourceId, oneDay))
